poliza;Sexo;sri;gdi;sin;ant_comp;ant_perm;edad;ant_veh
9301800620;Mujer;No urbano;No contratada;0;7;9;30;7
9900363073;Hombre;Urbano;Garantía daños propios contratada;0;1;0;18;2
9904663030;Hombre;Urbano;Garantía daños propios contratada;0;1;35;59;1
9711552622;Hombre;Urbano;No contratada;0;3;43;61;2
9601952133;Hombre;No urbano;Garantía daños propios contratada;0;4;0;18;1
9905051938;Hombre;No urbano;No contratada;0;1;32;60;1
2000151678;Mujer;Urbano;Garantía daños propios contratada;1;0;21;39;5
2000355247;Hombre;No urbano;Garantía daños propios contratada;0;0;27;50;1
9604650570;Hombre;No urbano;Garantía daños propios contratada;0;4;34;52;1
9604753069;Hombre;No urbano;Garantía daños propios contratada;0;4;12;30;0
2004865349;Hombre;Urbano;No contratada;0;0;38;60;0
9704851138;Hombre;No urbano;No contratada;0;3;23;41;7
1977000019;Hombre;Urbano;No contratada;0;0;33;51;9
8402802753;Hombre;No urbano;No contratada;0;16;0;18;9
9011800248;Mujer;No urbano;No contratada;0;10;28;50;1
9212400915;Hombre;No urbano;No contratada;0;8;12;30;1
9402852339;Hombre;No urbano;No contratada;0;6;23;41;5
9508751641;Hombre;No urbano;Garantía daños propios contratada;0;5;29;47;5
9903058940;Hombre;Urbano;Garantía daños propios contratada;0;1;24;42;1
2003952870;Hombre;No urbano;No contratada;0;0;12;40;0
9115400905;Hombre;No urbano;No contratada;0;9;18;60;1
9312303632;Hombre;No urbano;Garantía daños propios contratada;0;7;17;50;4
9403052126;Mujer;No urbano;Garantía daños propios contratada;0;6;23;41;1
9904555391;Hombre;Urbano;No contratada;0;1;11;29;8
8604353749;Hombre;Urbano;No contratada;0;14;12;30;4
8905000809;Hombre;No urbano;Garantía daños propios contratada;0;11;46;64;2
9800360166;Hombre;Urbano;Garantía daños propios contratada;0;2;16;50;3
9812351904;Hombre;No urbano;Garantía daños propios contratada;0;2;21;50;2
9903150940;Mujer;Urbano;No contratada;0;1;23;50;12
2019150109;Hombre;No urbano;No contratada;0;0;36;54;15
8702204335;Hombre;No urbano;Garantía daños propios contratada;0;13;11;29;1
9300201936;Mujer;No urbano;No contratada;0;7;9;30;9
9304550875;Hombre;No urbano;Garantía daños propios contratada;0;7;37;55;7
9805055197;Hombre;No urbano;No contratada;0;2;11;29;8
9102402744;Mujer;No urbano;No contratada;0;9;20;38;9
2000862091;Mujer;No urbano;No contratada;0;0;20;38;6
9002201996;Hombre;No urbano;No contratada;0;10;12;30;8
9406950703;Hombre;Urbano;No contratada;0;6;13;31;2
9700856574;Mujer;Urbano;No contratada;0;3;13;31;11
9904354240;Hombre;No urbano;Garantía daños propios contratada;1;1;15;39;1
1265000002;Hombre;Urbano;Garantía daños propios contratada;0;0;35;60;0
8702100146;Hombre;Urbano;Garantía daños propios contratada;0;13;22;40;0
8801804388;Hombre;Urbano;No contratada;0;12;37;60;6
2002869024;Hombre;No urbano;No contratada;0;0;12;30;0
9802860942;Hombre;No urbano;No contratada;0;2;30;48;2
2001862161;Hombre;Urbano;No contratada;0;0;31;49;5
2004862076;Hombre;No urbano;Garantía daños propios contratada;0;0;12;30;2
8701805374;Hombre;Urbano;No contratada;0;13;22;40;1
