"","Exp","Causa","Veh","PersT"
"87","2017S000075    ","No és causa del  vianant","Bicicleta","Conductor"
"105","2017S000083    ","No és causa del  vianant","Motocicleta","Conductor"
"125","2017S000104    ","No és causa del  vianant","Motocicleta","Vianant"
"142","2017S000118    ","No és causa del  vianant","Motocicleta","Conductor"
"167","2017S000141    ","Creuar per fora pas de vianants","Motocicleta","Vianant"
"170","2017S000142    ","Desobeir el senyal del semàfor","Taxi","Vianant"
"174","2017S000147    ","No és causa del  vianant","Motocicleta","Conductor"
"175","2017S000147    ","No és causa del  vianant","Motocicleta","Conductor"
"184","2017S000151    ","No és causa del  vianant","Motocicleta","Conductor"
"207","2017S000166    ","No és causa del  vianant","Turismo","Passatger"
"467","2017S000386    ","No és causa del  vianant","Turismo","Vianant"
"550","2017S000457    ","No és causa del  vianant","Bicicleta","Conductor"
"709","2017S000592    ","Creuar per fora pas de vianants","Motocicleta","Conductor"
"885","2017S000751    ","No és causa del  vianant","Ciclomotor","Conductor"
"965","2017S000826    ","Desobeir el senyal del semàfor","Autobús","Vianant"
"973","2017S000833    ","Creuar per fora pas de vianants","Taxi","Vianant"
"1010","2017S000870    ","No és causa del  vianant","Turismo","Vianant"
"1039","2017S000888    ","No és causa del  vianant","Motocicleta","Conductor"
"1046","2017S000894    ","No és causa del  vianant","Motocicleta","Conductor"
"1049","2017S000897    ","No és causa del  vianant","Motocicleta","Conductor"
"1175","2017S001004    ","No és causa del  vianant","Motocicleta","Conductor"
"1227","2017S001050    ","No és causa del  vianant","Furgoneta","Vianant"
"1249","2017S001070    ","No és causa del  vianant","Motocicleta","Conductor"
"1256","2017S001078    ","No és causa del  vianant","Taxi","Passatger"
"1375","2017S001177    ","No és causa del  vianant","Motocicleta","Conductor"
"1459","2017S001259    ","No és causa del  vianant","Motocicleta","Conductor"
"1595","2017S001383    ","Desobeir el senyal del semàfor","Taxi","Vianant"
"1672","2017S001452    ","No és causa del  vianant","Motocicleta","Conductor"
"1682","2017S001460    ","No és causa del  vianant","Motocicleta","Vianant"
"1770","2017S001537    ","No és causa del  vianant","Motocicleta","Conductor"
"1804","2017S001568    ","Altres","Turismo","Vianant"
"1832","2017S001593    ","No és causa del  vianant","Motocicleta","Conductor"
"1881","2017S001636    ","No és causa del  vianant","Motocicleta","Conductor"
"1992","2017S001732    ","No és causa del  vianant","Motocicleta","Conductor"
"2037","2017S001768    ","No és causa del  vianant","Ciclomotor","Conductor"
"2043","2017S001772    ","Desobeir el senyal del semàfor","Taxi","Vianant"
"2044","2017S001772    ","Desobeir el senyal del semàfor","Taxi","Vianant"
"2111","2017S001832    ","No és causa del  vianant","Motocicleta","Conductor"
"2146","2017S001857    ","No és causa del  vianant","Motocicleta","Passatger"
"2337","2017S002024    ","No és causa del  vianant","Motocicleta","Conductor"
"2402","2017S002083    ","No és causa del  vianant","Motocicleta","Passatger"
"2424","2017S002099    ","No és causa del  vianant","Motocicleta","Conductor"
"2486","2017S002155    ","No és causa del  vianant","Bicicleta","Conductor"
"2502","2017S002169    ","No és causa del  vianant","Motocicleta","Conductor"
"2808","2017S002420    ","No és causa del  vianant","Motocicleta","Conductor"
"2886","2017S002491    ","No és causa del  vianant","Autobús","Passatger"
"2916","2017S002519    ","Creuar per fora pas de vianants","Turismo","Vianant"
"2918","2017S002522    ","No és causa del  vianant","Autobús","Passatger"
"2996","2017S002595    ","No és causa del  vianant","Motocicleta","Conductor"
"3012","2017S003002    ","No és causa del  vianant","Turisme","Passatger"
"3068","2017S003054    ","No és causa del  vianant","Motocicleta","Conductor"
"3074","2017S003059    ","No és causa del  vianant","Motocicleta","Conductor"
"3168","2017S003161    ","No és causa del  vianant","Motocicleta","Passatger"
"3256","2017S003243    ","No és causa del  vianant","Ciclomotor","Conductor"
"3431","2017S003389    ","Creuar per fora pas de vianants","Autocar","Vianant"
"3453","2017S003410    ","No és causa del  vianant","Motocicleta","Conductor"
"3475","2017S003429    ","No és causa del  vianant","Bicicleta","Conductor"
"3521","2017S003467    ","No és causa del  vianant","Motocicleta","Conductor"
"3522","2017S003468    ","Desobeir el senyal del semàfor","Taxi","Vianant"
"3556","2017S003495    ","No és causa del  vianant","Motocicleta","Conductor"
"3655","2017S003587    ","Desobeir el senyal del semàfor","Turisme","Vianant"
"3703","2017S003628    ","No és causa del  vianant","Motocicleta","Conductor"
"3704","2017S003628    ","No és causa del  vianant","Motocicleta","Passatger"
"3734","2017S003650    ","No és causa del  vianant","Bicicleta","Conductor"
"3748","2017S003664    ","No és causa del  vianant","Motocicleta","Conductor"
"3764","2017S003678    ","No és causa del  vianant","Motocicleta","Passatger"
"3765","2017S003678    ","No és causa del  vianant","Motocicleta","Conductor"
